Yo: hacía, Tú: hacías, Él/Ella: hacía, Nosotros: hacíamos, Vosotros: hacíais, Ellos/Ellas: hacían	faire
Yo: veía, Tú: veías, Él/Ella: veía, Nosotros: veíamos, Vosotros: veíais, Ellos/Ellas: veían	voir
Yo: tenía, Tú: tenías, Él/Ella: tenía, Nosotros: teníamos, Vosotros: teníais, Ellos/Ellas: tenían	avoir
Yo: era, Tú: eras, Él/Ella: era, Nosotros: éramos, Vosotros: erais, Ellos/Ellas: eran	être
Yo: estaba, Tú: estabas, Él/Ella: estaba, Nosotros: estábamos, Vosotros: estabais, Ellos/Ellas: estaban	être
Yo: iba, Tú: ibas, Él/Ella: iba, Nosotros: íbamos, Vosotros: ibais, Ellos/Ellas: iban	aller
Yo: decía, Tú: decías, Él/Ella: decía, Nosotros: decíamos, Vosotros: decíais, Ellos/Ellas: decían	dire
Yo: sabía, Tú: sabías, Él/Ella: sabía, Nosotros: sabíamos, Vosotros: sabíais, Ellos/Ellas: sabían	savoir
Yo: quería, Tú: querías, Él/Ella: quería, Nosotros: queríamos, Vosotros: queríais, Ellos/Ellas: querían	vouloir
Yo: daba, Tú: dabas, Él/Ella: daba, Nosotros: dábamos, Vosotros: dabais, Ellos/Ellas: daban	donner
Yo: podía, Tú: podías, Él/Ella: podía, Nosotros: podíamos, Vosotros: podíais, Ellos/Ellas: podían	pouvoir
Yo: llevaba, Tú: llevabas, Él/Ella: llevaba, Nosotros: llevábamos, Vosotros: llevabais, Ellos/Ellas: llevaban	porter
Yo: pasaba, Tú: pasabas, Él/Ella: pasaba, Nosotros: pasábamos, Vosotros: pasabais, Ellos/Ellas: pasaban	passer
Yo: ponía, Tú: ponías, Él/Ella: ponía, Nosotros: poníamos, Vosotros: poníais, Ellos/Ellas: ponían	mettre
Yo: dejaba, Tú: dejabas, Él/Ella: dejaba, Nosotros: dejábamos, Vosotros: dejabais, Ellos/Ellas: dejaban	laisser
Yo: hablaba, Tú: hablabas, Él/Ella: hablaba, Nosotros: hablábamos, Vosotros: hablabais, Ellos/Ellas: hablaban	parler
Yo: salía, Tú: salías, Él/Ella: salía, Nosotros: salíamos, Vosotros: salíais, Ellos/Ellas: salían	sortir
Yo: miraba, Tú: mirabas, Él/Ella: miraba, Nosotros: mirábamos, Vosotros: mirabais, Ellos/Ellas: miraban	regarder
Yo: vivía, Tú: vivías, Él/Ella: vivía, Nosotros: vivíamos, Vosotros: vivíais, Ellos/Ellas: vivían	vivre
Yo: encontraba, Tú: encontrabas, Él/Ella: encontraba, Nosotros: encontrábamos, Vosotros: encontrabais, Ellos/Ellas: encontraban	trouver
Yo: trabajaba, Tú: trabajabas, Él/Ella: trabajaba, Nosotros: trabajábamos, Vosotros: trabajabais, Ellos/Ellas: trabajaban	travailler
Yo: llamaba, Tú: llamabas, Él/Ella: llamaba, Nosotros: llamábamos, Vosotros: llamabais, Ellos/Ellas: llamaban	appeler
Yo: sentía, Tú: sentías, Él/Ella: sentía, Nosotros: sentíamos, Vosotros: sentíais, Ellos/Ellas: sentían	sentir
Yo: creía, Tú: creías, Él/Ella: creía, Nosotros: creíamos, Vosotros: creíais, Ellos/Ellas: creían	croire
Yo: pensaba, Tú: pensabas, Él/Ella: pensaba, Nosotros: pensábamos, Vosotros: pensabais, Ellos/Ellas: pensaban	penser
Yo: escribía, Tú: escribías, Él/Ella: escribía, Nosotros: escribíamos, Vosotros: escribíais, Ellos/Ellas: escribían	écrire
Yo: abría, Tú: abrías, Él/Ella: abría, Nosotros: abríamos, Vosotros: abríais, Ellos/Ellas: abrían	ouvrir
Yo: cerraba, Tú: cerrabas, Él/Ella: cerraba, Nosotros: cerrábamos, Vosotros: cerrabais, Ellos/Ellas: cerraban	fermer
Yo: comía, Tú: comías, Él/Ella: comía, Nosotros: comíamos, Vosotros: comíais, Ellos/Ellas: comían	manger
Yo: bebía, Tú: bebías, Él/Ella: bebía, Nosotros: bebíamos, Vosotros: bebíais, Ellos/Ellas: bebían	boire
Yo: sacaba, Tú: sacabas, Él/Ella: sacaba, Nosotros: sacábamos, Vosotros: sacabais, Ellos/Ellas: sacaban	sortir
Yo: metía, Tú: metías, Él/Ella: metía, Nosotros: metíamos, Vosotros: metíais, Ellos/Ellas: metían	mettre
Yo: volvía, Tú: volvías, Él/Ella: volvía, Nosotros: volvíamos, Vosotros: volvíais, Ellos/Ellas: volvían	revenir
Yo: quedaba, Tú: quedabas, Él/Ella: quedaba, Nosotros: quedábamos, Vosotros: quedabais, Ellos/Ellas: quedaban	rester
Yo: entendía, Tú: entendías, Él/Ella: entendía, Nosotros: entendíamos, Vosotros: entendíais, Ellos/Ellas: entendían	comprendre
Yo: conocía, Tú: conocías, Él/Ella: conocía, Nosotros: conocíamos, Vosotros: conocíais, Ellos/Ellas: conocían	connaître
Yo: parecía, Tú: parecías, Él/Ella: parecía, Nosotros: parecíamos, Vosotros: parecíais, Ellos/Ellas: parecían	sembler
Yo: seguía, Tú: seguías, Él/Ella: seguía, Nosotros: seguíamos, Vosotros: seguíais, Ellos/Ellas: seguían	suivre
Yo: subía, Tú: subías, Él/Ella: subía, Nosotros: subíamos, Vosotros: subíais, Ellos/Ellas: subían	monter
Yo: bajaba, Tú: bajabas, Él/Ella: bajaba, Nosotros: bajábamos, Vosotros: bajabais, Ellos/Ellas: bajaban	descendre
Yo: quitaba, Tú: quitabas, Él/Ella: quitaba, Nosotros: quitábamos, Vosotros: quitabais, Ellos/Ellas: quitaban	enlever
Yo: empezaba, Tú: empezabas, Él/Ella: empezaba, Nosotros: empezábamos, Vosotros: empezabais, Ellos/Ellas: empezaban	commencer
Yo: acababa, Tú: acababas, Él/Ella: acababa, Nosotros: acabábamos, Vosotros: acababais, Ellos/Ellas: acababan	finir
Yo: buscaba, Tú: buscabas, Él/Ella: buscaba, Nosotros: buscábamos, Vosotros: buscabais, Ellos/Ellas: buscaban	chercher
Yo: esperaba, Tú: esperabas, Él/Ella: esperaba, Nosotros: esperábamos, Vosotros: esperabais, Ellos/Ellas: esperaban	attendre
Yo: recordaba, Tú: recordabas, Él/Ella: recordaba, Nosotros: recordábamos, Vosotros: recordabais, Ellos/Ellas: recordaban	se souvenir
Yo: olvidaba, Tú: olvidabas, Él/Ella: olvidaba, Nosotros: olvidábamos, Vosotros: olvidabais, Ellos/Ellas: olvidaban	oublier
Yo: traía, Tú: traías, Él/Ella: traía, Nosotros: traíamos, Vosotros: traíais, Ellos/Ellas: traían	apporter
Yo: leía, Tú: leías, Él/Ella: leía, Nosotros: leíamos, Vosotros: leíais, Ellos/Ellas: leían	lire
Yo: contaba, Tú: contabas, Él/Ella: contaba, Nosotros: contábamos, Vosotros: contabais, Ellos/Ellas: contaban	raconter
Yo: cambiaba, Tú: cambiabas, Él/Ella: cambiaba, Nosotros: cambiábamos, Vosotros: cambiabais, Ellos/Ellas: cambiaban	changer
Yo: dormía, Tú: dormías, Él/Ella: dormía, Nosotros: dormíamos, Vosotros: dormíais, Ellos/Ellas: dormían	dormir
Yo: despertaba, Tú: despertabas, Él/Ella: despertaba, Nosotros: despertábamos, Vosotros: despertabais, Ellos/Ellas: despertaban	réveiller
Yo: corría, Tú: corrías, Él/Ella: corría, Nosotros: corríamos, Vosotros: corríais, Ellos/Ellas: corrían	courir
Yo: jugaba, Tú: jugabas, Él/Ella: jugaba, Nosotros: jugábamos, Vosotros: jugabais, Ellos/Ellas: jugaban	jouer
Yo: ganaba, Tú: ganabas, Él/Ella: ganaba, Nosotros: ganábamos, Vosotros: ganabais, Ellos/Ellas: ganaban	gagner
Yo: perdía, Tú: perdías, Él/Ella: perdía, Nosotros: perdíamos, Vosotros: perdíais, Ellos/Ellas: perdían	perdre
Yo: pagaba, Tú: pagabas, Él/Ella: pagaba, Nosotros: pagábamos, Vosotros: pagabais, Ellos/Ellas: pagaban	payer
Yo: recibía, Tú: recibías, Él/Ella: recibía, Nosotros: recibíamos, Vosotros: recibíais, Ellos/Ellas: recibían	recevoir
Yo: moría, Tú: morías, Él/Ella: moría, Nosotros: moríamos, Vosotros: moríais, Ellos/Ellas: morían	mourir
Yo: vivía, Tú: vivías, Él/Ella: vivía, Nosotros: vivíamos, Vosotros: vivíais, Ellos/Ellas: vivían	vivre
Yo: nacía, Tú: nacías, Él/Ella: nacía, Nosotros: nacíamos, Vosotros: nacíais, Ellos/Ellas: nacían	naître
Yo: aprendía, Tú: aprendías, Él/Ella: aprendía, Nosotros: aprendíamos, Vosotros: aprendíais, Ellos/Ellas: aprendían	apprendre
Yo: enseñaba, Tú: enseñabas, Él/Ella: enseñaba, Nosotros: enseñábamos, Vosotros: enseñabais, Ellos/Ellas: enseñaban	enseigner
Yo: ayudaba, Tú: ayudabas, Él/Ella: ayudaba, Nosotros: ayudábamos, Vosotros: ayudabais, Ellos/Ellas: ayudaban	aider
Yo: servía, Tú: servías, Él/Ella: servía, Nosotros: servíamos, Vosotros: servíais, Ellos/Ellas: servían	servir
Yo: usaba, Tú: usabas, Él/Ella: usaba, Nosotros: usábamos, Vosotros: usabais, Ellos/Ellas: usaban	utiliser
Yo: necesitaba, Tú: necesitabas, Él/Ella: necesitaba, Nosotros: necesitábamos, Vosotros: necesitabais, Ellos/Ellas: necesitaban	avoir besoin
Yo: gustaba, Tú: gustabas, Él/Ella: gustaba, Nosotros: gustábamos, Vosotros: gustabais, Ellos/Ellas: gustaban	plaire
