a lid 	 un couvercle
to take the lid off something 	 révéler (fig.)
this puts the lid on it! 	 c’est le comble !
life 	 la vie
life expectancy 	 l’espérance de vie
life imprisonment 	 à perpétuité
to lift 	 1. soulever / 2. supprimer
shoplifting 	 vol à l’étalage
light 	 la lumière
to come to light 	 être dévoilé
in the light of what you say… 	 à la lumière de…
the likelihood 	 la probabilité
there is little likelihood 	 il y a peu de chances…
it will rain in all likelihood 	 il est fort probable qu’il pleuve
to liken to 	 comparer à
likeness 	 la ressemblance
a link 	 un maillon, un lien
the two companies are tightly linked 	 étroitement liées
litter 	 détritus, ordures
to litter 	 joncher
livelihood, to earn one’s livelihood 	 gagner sa vie
lively 	 vivant, énergique
a load 	 un chargement
to lobby 	 faire pression pour…
to long for 	 se languir de, avoir fortement envie de…
to look down upon (on) 	 mépriser
to look up to… 	 respecter
to look forward to + V-ing 	 se réjouir pour, espérer vivement
to loom (on/over) 	 être menaçant, surgir à l’horizon (de manière menaçante)
looming 	 menaçant
a lorry, a truck 	 un camion
to lower 	 baisser
luck, good fortune 	 la chance
Good luck! 	 bonne chance !
the lucky winner 	 l’heureux gagnant
a lucky strike 	 un coup de chance
luggage 	 les bagages
to make do with… 	 se contenter de
to make it 	 réussir
to make the most of… 	 tirer le meilleur parti de
to manage 	 réussir à
the management 	 la direction, la gestion
the managing director, the chief executive 	 le directeur général
mandatory, compulsory 	 obligatoire
manslaughter 	 homicide involontaire
to manufacture 	 fabriquer
manufacturing industry 	 l’industrie de transformation
to mar 	 gâcher
a margin 	 une marge
a safety margin 	 une marge de sécurité
a profit margin 	 marge bénéficiaire
a margin of error 	 une marge d’erreur
market 	 un marché
the market place 	 le marché
the job market 	 le marché du travail
to match 	 égaler
to maximize 	 porter au maximum
a mayor 	 un maire
a means 	 un moyen
by all means 	 par tous les moyens
membership 	 adhésion
mere, sheer 	 simple…
careful consideration 	 une mûre réflexion
after careful consideration… 	 après mûre réflexion…
a contentious issue 	 une question litigieuse, controversée
conventional wisdom 	 une idée reçue
crippling taxes 	 des impôts écrasants
current events 	 l’actualité
to be dead broke 	 être fauché comme les blés
to be dead certain 	 être absolument certain
to be dead drunk 	 être ivre mort
to be dead easy 	 être facile comme bonjour
to be dead tired 	 être éreinté
to arrive dead on time 	 être pile à l’heure
a decisive blow 	 un coup décisif
a deeply ingrained/deeply entrenched 	 profondément enraciné
deep rooted 	 profondément enraciné
to be deeply resistant to 	 résister fortement à…
deeply affected, deeply concerned 	 profondément affecté
in dire straits 	 dans une situation désespérée
dire poverty 	 pauvreté extrême
a dire need/a dire necessity 	 un besoin urgent
a dramatic drop 	 un effondrement spectaculaire
a dramatic change 	 un changement spectaculaire
a drastic measure 	 une mesure draconienne
a drastic remedy 	 un remède radical
drastically different 	 radicalement différent
dripping wet 	 ruisselant
an egregious error 	 énorme
an egregious blunder 	 une gaffe monumentale
by fair means or foul 	 par tous les moyens
to go at a fair pace 	 aller bon train
he stands a fair chance of success 	 il a de bonnes chances de réussir
the car ran fair and square into a tree 	 de plein fouet…
he is fair and square 	 il est honnête
fair weather 	 du beau temps
it’s set fair 	 le temps est au beau fixe
fair-weather friends 	 les amis des beaux jours
fair-haired 	 blond, blonde
